RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
102001,0,United States,Country,"",38.0,21.0,18.0,18.0,18.0,19.0,22.0,25.0,29.0,30.0,35.0,43.0,43.0,28.0,22.0,19.0,19.0,21.0,24.0,26.0,27.0,29.0,33.0,42.0,40.0,22.0,15.0,20.0,18.0,16.0,14.0,12.0,14.0,13.0,13.0,17.0,"",""
394913,1,"New York, NY",Msa,NY,71.0,36.0,33.0,38.0,36.0,42.0,47.0,51.0,56.0,53.0,56.0,67.0,74.0,51.0,45.0,42.0,42.0,48.0,54.0,59.0,61.0,52.0,60.0,71.0,78.0,55.0,44.0,46.0,55.0,30.0,27.0,29.0,31.0,29.0,34.0,42.0,"",""
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,19.0,14.0,15.0,14.0,15.0,16.0,19.0,21.0,25.0,26.0,29.0,39.0,38.0,25.0,22.0,19.0,19.0,21.0,21.0,22.0,24.0,23.0,25.0,30.0,20.0,14.0,13.0,17.0,15.0,15.0,13.0,13.0,12.0,13.0,13.0,14.0,"",""
394463,3,"Chicago, IL",Msa,IL,47.0,19.0,12.0,14.0,14.0,17.0,21.0,24.0,29.0,33.0,40.0,53.0,56.0,25.0,18.0,15.0,18.0,20.0,24.0,28.0,32.0,36.0,43.0,56.0,58.0,22.0,18.0,24.0,18.0,15.0,14.0,12.0,13.0,13.0,16.0,23.0,"",""
394514,4,"Dallas-Fort Worth, TX",Msa,TX,35.0,22.0,21.0,19.0,20.0,23.0,24.0,29.0,33.0,34.0,38.0,40.0,44.0,31.0,28.0,25.0,26.0,27.0,30.0,34.0,37.0,38.0,41.0,46.0,47.0,31.0,26.0,29.0,27.0,26.0,24.0,23.0,23.0,22.0,23.0,24.0,"",""
394974,5,"Philadelphia, PA",Msa,PA,57.0,39.0,28.0,24.0,28.0,30.0,25.0,27.0,29.0,28.0,33.0,45.0,43.0,25.0,18.0,15.0,15.0,20.0,23.0,24.0,22.0,23.0,29.0,41.0,39.0,15.0,11.0,22.0,12.0,9.0,9.0,8.0,15.0,9.0,10.0,13.0,12.0,9.0
394692,6,"Houston, TX",Msa,TX,36.0,23.0,16.0,16.0,16.0,19.0,21.0,27.0,33.0,32.0,34.0,39.0,39.0,46.0,21.0,21.0,21.0,21.0,26.0,31.0,34.0,34.0,35.0,42.0,44.0,25.0,19.0,25.0,22.0,21.0,17.0,16.0,17.0,14.0,14.0,16.0,14.0,11.0
395209,7,"Washington, DC",Msa,DC,47.0,32.0,26.0,19.0,26.0,16.0,16.0,21.0,19.0,23.0,30.0,38.0,29.0,13.0,10.0,9.0,12.0,15.0,18.0,19.0,17.0,19.0,25.0,32.0,20.0,9.0,6.0,11.0,10.0,8.0,7.0,6.0,13.0,7.0,7.0,8.0,"",""
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,44.0,35.0,33.0,38.0,37.0,37.0,35.0,36.0,39.0,40.0,40.0,47.0,58.0,46.0,44.0,47.0,44.0,43.0,41.0,43.0,44.0,41.0,43.0,50.0,51.0,40.0,36.0,40.0,46.0,38.0,33.0,28.0,26.0,23.0,26.0,33.0,"",""
394347,9,"Atlanta, GA",Msa,GA,23.0,13.0,11.0,10.0,10.0,11.0,13.0,15.0,18.0,18.0,23.0,30.0,25.0,23.0,15.0,13.0,14.0,15.0,18.0,20.0,22.0,23.0,26.0,34.0,33.0,21.0,14.0,18.0,20.0,18.0,16.0,14.0,14.0,14.0,13.0,15.0,"",""
394404,10,"Boston, MA",Msa,MA,18.0,9.0,8.0,7.0,8.0,8.0,12.0,13.0,12.0,15.0,24.0,32.0,22.0,14.0,9.0,8.0,9.0,10.0,14.0,15.0,12.0,16.0,22.0,35.0,22.0,9.0,7.0,10.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0,15.0,"",""
395057,11,"San Francisco, CA",Msa,CA,12.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,15.0,18.0,23.0,30.0,18.0,15.0,14.0,14.0,14.0,15.0,17.0,16.0,15.0,18.0,21.0,32.0,14.0,13.0,12.0,14.0,13.0,13.0,12.0,11.0,11.0,13.0,13.0,15.0,"",""
394532,12,"Detroit, MI",Msa,MI,31.0,13.0,9.0,7.0,7.0,9.0,11.0,14.0,18.0,21.0,24.0,35.0,37.0,25.0,14.0,10.0,10.0,14.0,16.0,18.0,23.0,27.0,28.0,39.0,46.0,21.0,12.0,26.0,10.0,8.0,8.0,7.0,9.0,9.0,11.0,13.0,"",""
395025,13,"Riverside, CA",Msa,CA,27.0,16.0,19.0,17.0,17.0,20.0,24.0,26.0,31.0,32.0,34.0,43.0,45.0,30.0,29.0,24.0,24.0,23.0,24.0,25.0,25.0,27.0,29.0,35.0,33.0,21.0,16.0,20.0,18.0,15.0,11.0,9.0,9.0,9.0,11.0,11.0,"",""
394976,14,"Phoenix, AZ",Msa,AZ,32.0,24.0,26.0,24.0,25.0,27.0,25.0,26.0,23.0,26.0,35.0,37.0,35.0,28.0,29.0,25.0,26.0,24.0,24.0,20.0,20.0,20.0,23.0,29.0,21.0,17.0,12.0,17.0,20.0,19.0,12.0,10.0,11.0,11.0,13.0,17.0,"",""
395078,15,"Seattle, WA",Msa,WA,9.0,7.0,7.0,7.0,7.0,8.0,10.0,14.0,17.0,22.0,30.0,37.0,18.0,11.0,7.0,7.0,7.0,10.0,11.0,13.0,11.0,14.0,17.0,18.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,"",""
394865,16,"Minneapolis-St Paul, MN",Msa,MN,37.0,18.0,16.0,17.0,17.0,19.0,22.0,24.0,27.0,30.0,37.0,46.0,47.0,21.0,20.0,17.0,17.0,19.0,22.0,23.0,26.0,31.0,33.0,44.0,40.0,20.0,15.0,18.0,17.0,17.0,17.0,16.0,17.0,18.0,21.0,23.0,"",""
395056,17,"San Diego, CA",Msa,CA,16.0,13.0,14.0,13.0,15.0,18.0,32.0,22.0,28.0,31.0,34.0,40.0,40.0,26.0,24.0,19.0,17.0,21.0,22.0,23.0,24.0,25.0,25.0,31.0,18.0,13.0,10.0,25.0,14.0,11.0,8.0,8.0,8.0,8.0,9.0,9.0,"",""
395121,18,"St. Louis, MO",Msa,MO,41.0,22.0,19.0,17.0,18.0,18.0,20.0,23.0,28.0,27.0,33.0,44.0,44.0,18.0,12.0,9.0,10.0,11.0,14.0,15.0,15.0,17.0,25.0,32.0,32.0,14.0,7.0,10.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,12.0,11.0,6.0
395148,19,"Tampa, FL",Msa,FL,23.0,20.0,19.0,18.0,19.0,17.0,18.0,21.0,23.0,20.0,22.0,30.0,32.0,24.0,25.0,22.0,21.0,19.0,20.0,21.0,21.0,29.0,26.0,29.0,27.0,18.0,14.0,19.0,17.0,15.0,11.0,8.0,7.0,8.0,9.0,10.0,10.0,6.0
394358,20,"Baltimore, MD",Msa,MD,51.0,37.0,26.0,22.0,29.0,24.0,26.0,28.0,27.0,35.0,38.0,50.0,48.0,28.0,17.0,16.0,17.0,23.0,26.0,29.0,29.0,29.0,32.0,41.0,45.0,20.0,12.0,17.0,13.0,12.0,10.0,9.0,18.0,8.0,8.0,11.0,8.0,6.0
394530,21,"Denver, CO",Msa,CO,6.0,6.0,6.0,5.0,6.0,7.0,10.0,13.0,15.0,18.0,23.0,30.0,14.0,9.0,8.0,6.0,9.0,10.0,15.0,16.0,16.0,19.0,23.0,29.0,12.0,6.0,5.0,9.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,"",""
394982,22,"Pittsburgh, PA",Msa,PA,68.0,49.0,27.0,20.0,27.0,19.0,21.0,27.0,29.0,34.0,38.0,48.0,52.0,37.0,22.0,17.0,14.0,23.0,18.0,21.0,20.0,27.0,30.0,40.0,46.0,21.0,13.0,33.0,10.0,8.0,8.0,8.0,10.0,11.0,14.0,20.0,22.0,8.0
394998,23,"Portland, OR",Msa,OR,20.0,10.0,8.0,7.0,8.0,11.0,14.0,19.0,24.0,29.0,34.0,40.0,31.0,17.0,11.0,9.0,10.0,12.0,15.0,18.0,19.0,25.0,25.0,43.0,25.0,8.0,6.0,9.0,9.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,"",""
394458,24,"Charlotte, NC",Msa,NC,14.0,9.0,7.0,11.0,9.0,10.0,13.0,15.0,18.0,18.0,19.0,27.0,20.0,15.0,11.0,10.0,10.0,12.0,13.0,15.0,15.0,17.0,19.0,24.0,19.0,11.0,7.0,12.0,11.0,8.0,7.0,5.0,6.0,6.0,6.0,7.0,"",""
